SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,FILE SIZE,start_time,end_time,start_close,end_close,pct_diff,,,,,,
PIGL,Power & Instrumentation (Gujarat) Limited,Bagging/Receiving of orders/contracts,Power & Instrumentation (Gujarat) Limited has informed the Exchange about Bagging/Receiving of orders/contracts,21-05-2025 13:52,21-05-2025 13:52,21-05-2025 13:52,00:00:01,https://nsearchives.nseindia.com/corporate/PIGL_21052025135205_Disclosureunderregulation30__2_.pdf,541 KB,21-05-2025 13:53,21-05-2025 14:52,154.57,160.88,4.082292812,1,4.082292812,,,Date,Nifty Trend
RPPL,Rajshree Polypack Limited,Bagging/Receiving of orders/contracts,Rajshree Polypack Limited has informed the Exchange about Bagging/Receiving of orders/contracts,21-05-2025 12:28,21-05-2025 12:28,21-05-2025 12:28,00:00:01,https://nsearchives.nseindia.com/corporate/RPPL_21052025122705_Reg30RPPLOrdernse.pdf,536 KB,21-05-2025 12:29,21-05-2025 13:28,26.39,26.76,1.40204623,1,1.40204623,,,21-05-2025,1
RPPL,Rajshree Polypack Limited,Bagging/Receiving of orders/contracts,Rajshree Polypack Limited has informed the Exchange about Bagging/Receiving of orders/contracts,20-05-2025 12:44,20-05-2025 12:44,20-05-2025 12:44,00:00:01,https://nsearchives.nseindia.com/corporate/RPPL_20052025124141_Reg30RPPLOrderMay25signed.pdf,529 KB,20-05-2025 12:45,20-05-2025 13:44,27.19,26.5,-2.537697683,0,0,,,20-05-2025,0
MCLOUD,Magellanic Cloud Limited,Bagging/Receiving of orders/contracts,Magellanic Cloud Limited has informed the Exchange about Bagging/Receiving of orders/contracts,19-05-2025 13:09,19-05-2025 13:09,19-05-2025 13:09,00:00:01,https://nsearchives.nseindia.com/corporate/MCLOUD_19052025130834_Reg30Intimation_Receiptoforder.pdf,589 KB,19-05-2025 13:10,19-05-2025 14:09,78.01,77.25,-0.974234073,1,-0.974234073,,SUM,19-05-2025,1
UNIVASTU,Univastu India Limited,Bagging/Receiving of orders/contracts,Univastu India Limited has informed the Exchange about Bagging/Receiving of orders/contracts,17-05-2025 11:11,17-05-2025 11:11,17-05-2025 11:11,00:00:00,https://nsearchives.nseindia.com/corporate/UNIVASTU_17052025111118_WorkOrderrevisedFinal.pdf,485 KB,16-05-2025 15:30,19-05-2025 09:30,270.5,279.6,3.364140481,1,3.364140481,,23.48051664,16-05-2025,1
NEWGEN,Newgen Software Technologies Limited,Bagging/Receiving of orders/contracts,Newgen Software Technologies Limited has informed the Exchange about revised Disclosure of material event/ information with reference to our earlier disclosure dated 12th May 2025,15-05-2025 15:18,15-05-2025 15:18,15-05-2025 15:18,00:00:00,https://nsearchives.nseindia.com/corporate/NEWGEN2_15052025151020_Stock_Exchange_disclosure14May2025.pdf,-,15-05-2025 15:19,16-05-2025 09:30,1156.4,1173.75,1.500345901,0,0,,,15-05-2025,0
IRCON,Ircon International Limited,Bagging/Receiving of orders/contracts,Ircon International Limited has informed the Exchange about Bagging/Receiving of orders/contracts,15-05-2025 15:07,15-05-2025 15:07,15-05-2025 15:07,00:00:01,https://nsearchives.nseindia.com/corporate/IRCON_15052025150727_STEXLOA15052025.pdf,-,15-05-2025 15:08,16-05-2025 09:30,178.5,180.24,0.974789916,0,0,,,14-05-2025,1
WCIL,Western Carriers (India) Limited,Bagging/Receiving of orders/contracts,Western Carriers (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts,15-05-2025 13:33,15-05-2025 13:33,15-05-2025 13:33,00:00:00,https://nsearchives.nseindia.com/corporate/WCIL_15052025133255_INTIMATION_TO_EXCHANGE_REG_30.pdf,-,15-05-2025 13:34,15-05-2025 14:33,82.92,81.89,-1.242161119,0,0,,,13-05-2025,0
SEPC,SEPC Limited,Bagging/Receiving of orders/contracts,We hereby inform the exchange of the receipt of Five Work Orders from M/s. Bajaj Energy Private Limited for a total value of Rs.180000000/- (Rupees  One Hundred and Eighty Millions only). Detailed letter is enclosed.,15-05-2025 09:40,15-05-2025 09:40,15-05-2025 09:40,00:00:00,https://nsearchives.nseindia.com/corporate/SHRIRAMEPC_15052025093930_INTIMATIONTOSTOCKEXCHANGEBAJAJENERGYORDERsd.pdf,-,15-05-2025 09:41,15-05-2025 10:40,15.27,15.42,0.982318271,0,0,,,12-05-2025,1
RPPL,Rajshree Polypack Limited,Bagging/Receiving of orders/contracts,Rajshree Polypack Limited has informed the Exchange about Bagging/Receiving of orders/contracts,14-05-2025 11:05,14-05-2025 11:05,14-05-2025 11:05,00:00:01,https://nsearchives.nseindia.com/corporate/RPPL_14052025110457_Reg30RPPLOrderMay25Clark.pdf,-,14-05-2025 11:06,14-05-2025 12:05,26.06,26.63,2.187260169,1,2.187260169,,,09-05-2025,0
