sc_id,stock_name,net_profit_actual,net_profit_estimated,nse_id,exchdisstime,board_announcement_time,start_timestamp,start_open,start_high,start_low,start_close,start_volume,end_timestamp,end_open,end_high,end_low,end_close,end_volume
HAL,Hindustan Aeron,"3,977","2,665",HAL,14-May-2025 13:14:38,2025-05-14 13:14:38,2025-05-14T13:14:00+05:30,4743.0,4744.0,4718.89,4719.39,18996.0,2025-05-14T13:54:00+05:30,4755.5,4757.8,4751.0,4753.0,11628.0
EM,Eicher Motors,"1,362","1,238",EICHERMOT,14-May-2025 16:17:05,2025-05-14 16:17:05,2025-05-14T15:29:00+05:30,5445.5,5450.0,5440.0,5447.0,1205.0,2025-05-15T09:30:00+05:30,5469.5,5482.0,5468.0,5476.0,6761.0
TPC,Tata Power,"1,028",992,TATAPOWER,14-May-2025 16:36:28,2025-05-14 16:36:28,2025-05-14T15:29:00+05:30,398.35,398.6,398.05,398.05,60435.0,2025-05-15T09:30:00+05:30,396.75,397.15,396.0,396.5,148884.0
SC12,Shree Cements,574,383,SHREECEM,14-May-2025 18:19:26,2025-05-14 18:19:26,2025-05-14T15:29:00+05:30,30815.0,30845.0,30660.0,30815.0,352.0,2025-05-15T09:30:00+05:30,31235.0,31280.0,31215.0,31245.0,1114.0
TP13,Torrent Power,"1,060",448,TORNTPOWER,14-May-2025 17:36:33,2025-05-14 17:36:33,2025-05-14T15:29:00+05:30,1445.1,1449.0,1438.0,1448.0,7019.0,2025-05-15T09:30:00+05:30,1445.0,1446.1,1439.7,1442.0,3744.0
BPI02,Berger Paints,262,237,BERGEPAINT,14-May-2025 14:31:13,2025-05-14 14:31:13,2025-05-14T14:31:00+05:30,549.4,557.0,549.4,554.85,26991.0,2025-05-14T15:11:00+05:30,557.9,558.0,555.5,555.5,29872.0
JF04,Jubilant Food,49,45,JUBLFOOD,14-May-2025 16:18:55,2025-05-14 16:18:55,2025-05-14T15:29:00+05:30,693.4,693.5,692.25,692.85,3527.0,2025-05-15T09:30:00+05:30,684.75,687.0,684.65,686.65,22104.0
AI40,Apar Ind,250,220,APARINDS,14-May-2025 14:04:19,2025-05-14 14:04:19,2025-05-14T14:04:00+05:30,6832.5,6839.5,6795.0,6804.0,2566.0,2025-05-14T14:44:00+05:30,6980.0,6987.5,6971.5,6984.5,751.0
AT,Apollo Tyres,269,295,APOLLOTYRE,14-May-2025 20:09:52,2025-05-14 20:09:52,2025-05-14T15:29:00+05:30,476.45,476.6,475.75,476.4,20062.0,2025-05-15T09:30:00+05:30,482.45,483.6,482.05,483.3,24238.0
PP37,Piramal Pharma,154,206,PPLPHARMA,14-May-2025 20:46:18,2025-05-14 20:46:18,2025-05-14T15:29:00+05:30,219.53,220.0,219.31,220.0,38159.0,2025-05-15T09:30:00+05:30,217.25,217.85,217.2,217.76,61159.0
BE08,Brigade Ent,247,267,BRIGADE,14-May-2025 19:24:08,2025-05-14 19:24:08,2025-05-14T15:29:00+05:30,1084.3,1085.7,1081.3,1085.0,1349.0,2025-05-15T09:30:00+05:30,1056.4,1057.8,1050.0,1052.7,16356.0
JBC,JB Chemicals,146,140,JBCHEPHARM,14-May-2025 19:34:13,2025-05-14 19:34:13,2025-05-14T15:29:00+05:30,1609.9,1609.9,1609.5,1609.5,1609.0,2025-05-15T09:30:00+05:30,1609.0,1609.9,1606.1,1607.4,506.0
LMW,LMW,48,38,LMW,14-May-2025 18:06:11,2025-05-14 18:06:11,2025-05-14T15:29:00+05:30,18182.0,18182.0,18007.0,18134.0,137.0,2025-05-15T09:30:00+05:30,17642.0,17663.0,17640.0,17640.0,11.0
VI16,V-Guard Ind,91,92,VGUARD,14-May-2025 14:26:40,2025-05-14 14:26:40,2025-05-14T14:26:00+05:30,380.7,388.45,380.55,387.9,102529.0,2025-05-14T15:06:00+05:30,378.3,378.35,376.85,377.4,6402.0
ES07,eClerx Services,152,142,ECLERX,14-May-2025 17:50:05,2025-05-14 17:50:05,2025-05-14T15:29:00+05:30,2766.1,2771.9,2755.0,2755.0,262.0,2025-05-15T09:30:00+05:30,3062.9,3063.6,3055.9,3055.9,10037.0
KOE03,Kirloskar Oil,116,85,KIRLOSENG,14-May-2025 17:40:07,2025-05-14 17:40:07,2025-05-14T15:29:00+05:30,734.75,735.0,734.4,734.65,3432.0,2025-05-15T09:30:00+05:30,762.75,764.3,760.85,762.8,5947.0
DIC,Westlife Food,2,-3,WESTLIFE,14-May-2025 14:41:18,2025-05-14 14:41:18,2025-05-14T14:41:00+05:30,698.8,699.35,696.55,697.05,1458.0,2025-05-14T15:21:00+05:30,696.85,697.85,696.5,697.85,506.0
